school_name,school_code,authorizer,model_type,first_grade12_year,last_grade12_year,first_acgr_year,last_acgr_year,closure_year,transition_notes
Academy for Career Education Charter,16608,Washoe County School District,brick_and_mortar,2013-14,2024-25,2013-14,2024-25,,
Alpine Acad,18412,State Public Charter School Authority,alternative,2013-14,2016-17,2013-14,2016-17,,
Alpine Acad,,State Public Charter School Authority,alternative,2017-18,2024-25,2017-18,2024-25,,
Amplus Durango,,State Public Charter School Authority,brick_and_mortar,2017-18,2024-25,2017-18,2024-25,,
Argent Preparatory Academy,18400,State Public Charter School Authority,brick_and_mortar,2013-14,2016-17,2013-14,2016-17,,
Argent Preparatory Academy,,State Public Charter School Authority,brick_and_mortar,2017-18,2017-18,2017-18,2017-18,2017-18,school_not_operating
Beacon Acad,18409,State Public Charter School Authority,alternative,2013-14,2016-17,2013-14,2016-17,,
Beacon Acad,,State Public Charter School Authority,alternative,2017-18,2024-25,2017-18,2024-25,,
CASLV Cadence,87316,State Public Charter School Authority,brick_and_mortar,,,,,,no_grade_12_or_no_acgr
CASLV Sandy Ridge,18407,State Public Charter School Authority,brick_and_mortar,2014-15,2016-17,2014-15,2016-17,,
CASLV Sandy Ridge,87312,State Public Charter School Authority,brick_and_mortar,2017-18,2017-18,2017-18,2017-18,,
CASLV Sandy Ridge,,State Public Charter School Authority,brick_and_mortar,2018-19,2024-25,2018-19,2024-25,,
CIVICA Academy,110100,State Public Charter School Authority,brick_and_mortar,,,,,,no_grade_12_or_no_acgr
Coral Academy of Science Charter,16312,Washoe County School District,brick_and_mortar,2013-14,2024-25,2013-14,2024-25,,
Democracy Prep,46300,Achievement School District,brick_and_mortar,2017-18,2018-19,2017-18,2018-19,,
Democracy Prep,,State Public Charter School Authority,brick_and_mortar,2019-20,2024-25,2019-20,2024-25,,
Doral Red Rock,,State Public Charter School Authority,brick_and_mortar,2019-20,2024-25,2019-20,2024-25,2024-25,no_grade_12_or_no_acgr
Equipo Acad,,State Public Charter School Authority,alternative,2017-18,2024-25,2017-18,2024-25,,
Explore Academy,107101,State Public Charter School Authority,brick_and_mortar,2023-24,2024-25,2023-24,2024-25,,
Explore Knowledge Academy J-SHS,02616,Clark County School District,brick_and_mortar,2013-14,2024-25,2013-14,2024-25,,
Founders Acad,,State Public Charter School Authority,brick_and_mortar,2017-18,2024-25,2017-18,2024-25,,
ICDA Charter HS,16604,Washoe County School District,alternative,2013-14,2019-20,2013-14,2019-20,2019-20,school_not_operating
Innovations Int'l Charter J-SHS,02363,Clark County School District,brick_and_mortar,2013-14,2024-25,2013-14,2024-25,,
Leadership Acad,,State Public Charter School Authority,alternative,2017-18,2024-25,2017-18,2024-25,,
Mater Academy East,49434,State Public Charter School Authority,brick_and_mortar,2023-24,2024-25,2023-24,2024-25,2024-25,no_grade_12_or_no_acgr
NSHS Downtown,,State Public Charter School Authority,brick_and_mortar,2017-18,2024-25,2017-18,2024-25,,
NSHS Dtwn Henderson,,State Public Charter School Authority,brick_and_mortar,2020-21,2024-25,2020-21,2024-25,2024-25,no_grade_12_or_no_acgr
NSHS Henderson,,State Public Charter School Authority,brick_and_mortar,2017-18,2024-25,2017-18,2024-25,,
NSHS Legacy Single-Campus,18401,State Public Charter School Authority,brick_and_mortar,2013-14,2016-17,2013-14,2016-17,,
NSHS Meadowwood,,State Public Charter School Authority,brick_and_mortar,2018-19,2023-24,2018-19,2023-24,2023-24,no_grade_12_or_no_acgr
NSHS Meadowwood,104101,State Public Charter School Authority,brick_and_mortar,2024-25,2024-25,2024-25,2024-25,,
NSHS North Las Vegas,,State Public Charter School Authority,brick_and_mortar,2022-23,2024-25,2022-23,2024-25,2024-25,no_grade_12_or_no_acgr
NSHS Northwest,,State Public Charter School Authority,brick_and_mortar,2020-21,2024-25,2020-21,2024-25,2024-25,no_grade_12_or_no_acgr
NSHS Southwest,,State Public Charter School Authority,brick_and_mortar,2019-20,2024-25,2019-20,2024-25,2024-25,no_grade_12_or_no_acgr
NSHS Summerlin,,State Public Charter School Authority,brick_and_mortar,2017-18,2024-25,2017-18,2024-25,,
NSHS Sunrise,,State Public Charter School Authority,brick_and_mortar,2018-19,2024-25,2018-19,2024-25,2024-25,no_grade_12_or_no_acgr
Nevada Connections Acad,18405,State Public Charter School Authority,statewide_online,2013-14,2016-17,2013-14,2016-17,,
Nevada Connections Acad,,State Public Charter School Authority,statewide_online,2017-18,2024-25,2017-18,2024-25,,
Nevada Virtual Charter,18404,State Public Charter School Authority,statewide_online,2013-14,2016-17,2013-14,2016-17,,
Nevada Virtual Charter,,State Public Charter School Authority,statewide_online,2017-18,2024-25,2017-18,2024-25,,
Oasis Acad,,State Public Charter School Authority,brick_and_mortar,2017-18,2024-25,2017-18,2024-25,,
Odyssey Charter Schools 9-12 HS,02614,Clark County School District,brick_and_mortar,2013-14,2024-25,2013-14,2024-25,,
Pinecrest Cadence,,State Public Charter School Authority,brick_and_mortar,2019-20,2024-25,2019-20,2024-25,2024-25,no_grade_12_or_no_acgr
Pinecrest Sloan Canyon,,State Public Charter School Authority,brick_and_mortar,2022-23,2024-25,2022-23,2024-25,2024-25,no_grade_12_or_no_acgr
Quest Academy,18408,State Public Charter School Authority,brick_and_mortar,2013-14,2016-17,2013-14,2016-17,,
Rainshadow CCHS,16610,Washoe County School District,alternative,2013-14,2024-25,2013-14,2024-25,,
SLAM NV,,State Public Charter School Authority,brick_and_mortar,2019-20,2024-25,2019-20,2024-25,2024-25,no_grade_12_or_no_acgr
Somerset Losee,,State Public Charter School Authority,brick_and_mortar,2017-18,2024-25,2017-18,2024-25,,
Somerset Sky Pointe,,State Public Charter School Authority,brick_and_mortar,2017-18,2024-25,2017-18,2024-25,,
Southern Nevada Trades High School,95301,State Public Charter School Authority,brick_and_mortar,2024-25,2024-25,2024-25,2024-25,2024-25,no_grade_12_or_no_acgr
The Delta Academy J-SHS,02621,Clark County School District,brick_and_mortar,2013-14,2024-25,2013-14,2024-25,,
Thrive Point Academy,96601,State Public Charter School Authority,alternative,2024-25,2024-25,2024-25,2024-25,,
Young Women's Leadership Academy of Las Vegas,113100,State Public Charter School Authority,brick_and_mortar,,,,,,
